"id","train","logtarg"
957,0,NA
2062,0,NA
2232,1,0
2623,0,NA
3000,1,0
3689,0,NA
4251,0,NA
4642,0,NA
5002,0,NA
6084,0,NA
6130,0,NA
6610,0,NA
6670,1,0
7072,1,0
7285,1,0
7862,0,NA
8648,0,NA
9121,0,NA
9377,0,NA
9423,1,0
9784,0,NA
10855,0,NA
11134,1,0
13978,1,0
14001,0,NA
14389,1,0
14575,0,NA
15113,1,0
15652,0,NA
16004,1,0
16470,0,NA
17167,1,0
17221,1,0
17540,1,0
17655,0,NA
20010,0,NA
20117,0,NA
20311,1,0
21210,0,NA
21733,0,NA
22225,1,0
22373,0,NA
23124,1,0
23167,0,NA
23736,0,NA
24945,1,2.3933391571
26042,0,NA
26417,0,NA
27707,0,NA
28258,0,NA
28398,0,NA
28495,1,0
28827,1,0
29084,0,NA
29823,0,NA
30589,0,NA
30805,0,NA
31046,0,NA
31224,0,NA
31496,1,0
31518,1,0
32247,0,NA
33006,0,NA
33618,0,NA
33960,0,NA
34258,0,NA
34681,1,0
35874,1,0
36293,0,NA
36870,0,NA
37362,1,0
38202,0,NA
39217,1,0
39314,1,0
40185,0,NA
40614,1,0
40622,0,NA
40720,1,0
41173,1,0
41947,0,NA
42200,1,0
42854,1,0
43400,1,0
44300,1,4.6841621399
44326,0,NA
44687,1,0
44750,0,NA
45128,1,0
45365,0,NA
45497,0,NA
45772,0,NA
45861,0,NA
46019,0,NA
48186,0,NA
49093,0,NA
49182,0,NA
49190,0,NA
49735,0,NA
49778,0,NA
50962,0,NA
51292,0,NA
51691,0,NA
52604,1,0
52671,1,2.7663173676
52965,1,0
53066,1,0
53627,1,0
53830,0,NA
54003,1,0
54542,0,NA
55247,0,NA
56774,0,NA
56782,0,NA
57576,1,0
58114,0,NA
58181,1,4.0562934875
58572,0,NA
58629,1,0
58912,0,NA
59145,0,NA
59587,1,0
59935,0,NA
60623,1,0
62073,0,NA
62790,0,NA
63169,0,NA
63495,0,NA
63797,1,0
65056,1,0
65420,0,NA
65676,0,NA
65820,0,NA
65854,0,NA
65870,0,NA
66699,1,0
66702,0,NA
67512,0,NA
67598,1,3.723279953
67636,0,NA
67806,1,4.4161834717
67857,1,0
67970,1,4.8476448059
68624,0,NA
68691,1,0
68888,0,NA
69469,1,0
69841,0,NA
69930,0,NA
70343,0,NA
71226,0,NA
71269,0,NA
71790,1,0
71943,1,0
72028,0,NA
72079,0,NA
73385,0,NA
73695,0,NA
73717,0,NA
74012,1,0
74020,1,0
74365,0,NA
74411,0,NA
74721,0,NA
74918,0,NA
75256,1,0
75426,0,NA
76090,0,NA
76473,0,NA
76570,1,0
78310,1,0
78700,0,NA
78840,0,NA
78859,1,0
79014,0,NA
79340,0,NA
79545,0,NA
79758,1,0
79804,0,NA
80365,1,0
82490,0,NA
82708,1,0
84050,1,0
84280,0,NA
84603,1,0
84638,0,NA
84689,0,NA
85464,0,NA
87424,0,NA
87971,1,0
88013,0,NA
88293,0,NA
88390,0,NA
88897,0,NA
89460,1,0
91685,1,0
92347,1,0
92592,0,NA
93149,0,NA
93262,0,NA
94480,0,NA
95125,0,NA
95567,1,0
95605,0,NA
96997,1,0
97527,1,0
97861,1,0
98620,0,NA
98906,0,NA
99309,0,NA
99430,0,NA
99546,0,NA
99619,0,NA
99716,0,NA
99830,0,NA
100021,1,0
100420,0,NA
100790,1,0
100927,0,NA
101010,0,NA
101192,0,NA
102229,0,NA
102563,0,NA
102580,0,NA
102733,1,0
103055,0,NA
103446,0,NA
103616,0,NA
103705,0,NA
104760,0,NA
105546,0,NA
105619,0,NA
106410,1,0
107638,1,0
107751,0,NA
108286,0,NA
110620,0,NA
110736,0,NA
111040,1,0
111490,0,NA
111929,1,0
112356,0,NA
113506,0,NA
113808,1,0
113840,0,NA
114308,0,NA
114529,0,NA
115223,0,NA
115819,0,NA
116114,0,NA
117315,0,NA
117536,0,NA
118257,0,NA
120308,1,0
120693,1,0
120707,1,0
121088,0,NA
121126,0,NA
122165,0,NA
123153,0,NA
123161,0,NA
123340,0,NA
123625,0,NA
123676,1,0
123986,1,0
124001,1,0
124230,1,0
124346,1,0
125717,1,0
126268,0,NA
126306,0,NA
126373,0,NA
127957,0,NA
127973,1,0
128090,0,NA
128260,0,NA
128600,0,NA
128678,0,NA
129348,0,NA
129356,1,0
129895,0,NA
130346,0,NA
130427,0,NA
130923,0,NA
131270,0,NA
131750,1,0
131911,0,NA
132160,0,NA
132292,0,NA
132390,0,NA
132438,0,NA
132462,0,NA
132748,0,NA
133019,1,0
133051,1,0
133680,1,0
134031,0,NA
135062,0,NA
135151,0,NA
135224,0,NA
135976,0,NA
136786,1,0
136816,0,NA
136913,0,NA
137057,1,0
137847,0,NA
138002,0,NA
138150,1,0
138347,0,NA
138630,1,0
138703,0,NA
139734,1,0
139939,0,NA
140686,0,NA
142204,1,0
143197,0,NA
143286,1,0
143375,1,0
145564,0,NA
145882,0,NA
145920,0,NA
146641,0,NA
147400,0,NA
147559,1,0
147648,1,3.1759681702
148334,0,NA
148997,0,NA
149195,0,NA
149683,0,NA
149748,0,NA
150355,0,NA
150410,1,0
150525,0,NA
150860,0,NA
151300,1,0
153303,1,0
153672,1,0
154113,0,NA
154784,1,0
156000,0,NA
156981,0,NA
158046,0,NA
158402,1,0
158593,1,0
158933,1,0
159670,0,NA
160040,1,0
160482,0,NA
